Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
yeast1,1,1,Original GB,0.7830188679245284,0.6821898895497026,0.6392284405049437,0.5413105413105413,0.42544178806015076,0.7933703271028038,0.4439252336448598,0.9204545454545454,0.4439252336448598,486,42,119,95
yeast1,1,1,Random US,0.7048517520215634,0.7092449022939677,0.7091689225760415,0.5844402277039848,0.38389098631000923,0.7804136576040781,0.719626168224299,0.6988636363636364,0.719626168224299,369,159,60,154
yeast1,1,1,Cluster US,0.6752021563342318,0.6967484423676013,0.6948856334777019,0.5704099821746881,0.3572743692630446,0.7664701925800056,0.7476635514018691,0.6458333333333334,0.7476635514018691,341,187,54,160
yeast1,1,1,SMOTE,0.7506738544474394,0.7150417728688756,0.7100668892827878,0.5934065934065934,0.41605360673582326,0.781980140186916,0.6308411214953271,0.7992424242424242,0.6308411214953271,422,106,79,135
yeast1,1,1,Residual-Guided GMM,0.6671159029649596,0.6994034975927499,0.6952294251211134,0.5734024179620034,0.36138448875938545,0.7927685145851034,0.7757009345794392,0.6231060606060606,0.7757009345794392,329,199,48,166
yeast1,1,2,Original GB,0.7628032345013477,0.6898283394378006,0.6676404637890057,0.5577889447236181,0.39956195839562303,0.7976876572084197,0.5162790697674419,0.8633776091081594,0.5162790697674419,455,72,104,111
yeast1,1,2,Random US,0.7048517520215634,0.7206257446714619,0.7196486499863733,0.5981651376146789,0.4028145450114268,0.7814306517805922,0.7581395348837209,0.683111954459203,0.7581395348837209,360,167,52,163
yeast1,1,2,Cluster US,0.6792452830188679,0.6998455496226998,0.6981286490386528,0.575,0.36353331244208137,0.7757821808393275,0.7488372093023256,0.650853889943074,0.7488372093023256,343,184,54,161
yeast1,1,2,SMOTE,0.7439353099730458,0.7206036803318476,0.7184642039858246,0.6008403361344538,0.41915484919865637,0.8008075548298839,0.6651162790697674,0.7760910815939279,0.6651162790697674,409,118,72,143
yeast1,1,2,Residual-Guided GMM,0.7021563342318059,0.709090507921098,0.7088987227070214,0.5853658536585366,0.3833472591961817,0.7979038877366402,0.7255813953488373,0.6925996204933587,0.7255813953488373,365,162,59,156
yeast1,2,1,Original GB,0.7641509433962265,0.6675428348909658,0.6272933004067575,0.5179063360881543,0.37893020282701656,0.7859140470121779,0.4392523364485981,0.8958333333333334,0.4392523364485981,473,55,120,94
yeast1,2,1,Random US,0.6859838274932615,0.7015452421410365,0.7005808368211234,0.575591985428051,0.36694991018459555,0.7749398187482299,0.7383177570093458,0.6647727272727273,0.7383177570093458,351,177,56,158
yeast1,2,1,Cluster US,0.6630727762803235,0.6951731096006797,0.6910222009769228,0.5689655172413793,0.35370350221791275,0.7545932455395071,0.7710280373831776,0.6193181818181818,0.7710280373831776,327,201,49,165
yeast1,2,1,SMOTE,0.715633423180593,0.675136292834891,0.6683196019440693,0.5403050108932462,0.33741839841561944,0.7670100538091194,0.5794392523364486,0.7708333333333334,0.5794392523364486,407,121,90,124
yeast1,2,1,Residual-Guided GMM,0.6819407008086253,0.7112096431605778,0.7078385914442699,0.5859649122807018,0.38304423916160496,0.7916224157462476,0.780373831775701,0.6420454545454546,0.780373831775701,339,189,47,167
yeast1,2,2,Original GB,0.7830188679245284,0.704059838489034,0.678556290274825,0.5796344647519582,0.44238611221320806,0.7831516702705088,0.5162790697674419,0.8918406072106262,0.5162790697674419,470,57,104,111
yeast1,2,2,Random US,0.6967654986522911,0.68188959004457,0.6809712275905221,0.5526838966202783,0.3386399622341118,0.7531529941308855,0.6465116279069767,0.7172675521821632,0.6465116279069767,378,149,76,139
yeast1,2,2,Cluster US,0.6752021563342318,0.7080137681479193,0.703700495119907,0.5837651122625216,0.37752874360702693,0.7878425488725123,0.786046511627907,0.6299810246679317,0.786046511627907,332,195,46,169
yeast1,2,2,SMOTE,0.7398921832884097,0.7163805657296678,0.7141950556170887,0.5953878406708596,0.4107726509899901,0.7921142050218438,0.6604651162790698,0.7722960151802657,0.6604651162790698,407,120,73,142
yeast1,2,2,Residual-Guided GMM,0.683288409703504,0.7109527381845462,0.7079020280521381,0.5869947275922671,0.38319709350001535,0.7883941573628701,0.7767441860465116,0.6451612903225806,0.7767441860465116,340,187,48,167
yeast1,3,1,Original GB,0.77088948787062,0.6778355989804588,0.6411776283230897,0.5355191256830601,0.39923144977164315,0.8002601954120646,0.45794392523364486,0.8977272727272727,0.45794392523364486,474,54,116,98
yeast1,3,1,Random US,0.6657681940700808,0.7040144435004247,0.6981891859211931,0.5782312925170068,0.36970476509410666,0.7904099405267628,0.794392523364486,0.6136363636363636,0.794392523364486,324,204,44,170
yeast1,3,1,Cluster US,0.6522911051212938,0.6987131832342113,0.6900481535822327,0.5728476821192053,0.36055945518233123,0.7716032993486265,0.8084112149532711,0.5890151515151515,0.8084112149532711,311,217,41,173
yeast1,3,1,SMOTE,0.7439353099730458,0.7103069243840272,0.7058477973325059,0.5869565217391305,0.4047613389969514,0.7990300198244124,0.6308411214953271,0.7897727272727273,0.6308411214953271,417,111,79,135
yeast1,3,1,Residual-Guided GMM,0.6711590296495957,0.7230865902010761,0.7125987736292094,0.5973597359735974,0.404902309032704,0.8116769328802039,0.8457943925233645,0.6003787878787878,0.8457943925233645,317,211,33,181
yeast1,3,2,Original GB,0.7749326145552561,0.6777150169895415,0.637057797322873,0.5348189415041783,0.40770573696408596,0.7869996910992454,0.44651162790697674,0.9089184060721063,0.44651162790697674,479,48,119,96
yeast1,3,2,Random US,0.7196765498652291,0.7172940293897003,0.7172716498335298,0.5953307392996109,0.40194336986532947,0.7870394069105511,0.7116279069767442,0.7229601518026565,0.7116279069767442,381,146,62,153
yeast1,3,2,Cluster US,0.6886792452830188,0.698226027095009,0.6978567933087477,0.5730129390018485,0.36237626521430033,0.7778209258196902,0.7209302325581395,0.6755218216318786,0.7209302325581395,356,171,60,155
yeast1,3,2,SMOTE,0.7425876010781671,0.7045099510171661,0.6986657270507988,0.5802197802197803,0.39665368971861276,0.78930320815498,0.6139534883720931,0.7950664136622391,0.6139534883720931,419,108,83,132
yeast1,3,2,Residual-Guided GMM,0.7183288409703504,0.727359781121751,0.7270426199833335,0.6064030131826742,0.41717649874019747,0.7993248312078021,0.7488372093023256,0.7058823529411765,0.7488372093023256,372,155,54,161
vehicle0,1,1,Original GB,0.9645390070921985,0.9457120743034055,0.9450375522867852,0.9238578680203046,0.9009298759700118,0.9930340557275542,0.91,0.9814241486068112,0.91,317,6,9,91
vehicle0,1,1,Random US,0.9361702127659575,0.9478482972136223,0.947589413509051,0.8778280542986425,0.842104576339249,0.9872755417956657,0.97,0.9256965944272446,0.97,299,24,3,97
vehicle0,1,1,Cluster US,0.950354609929078,0.9674922600619196,0.9669459758041495,0.9049773755656109,0.8790417961855905,0.9956656346749226,1.0,0.934984520123839,1.0,302,21,0,100
vehicle0,1,1,SMOTE,0.9527186761229315,0.951780185758514,0.9517785209496884,0.9047619047619048,0.8751649683536324,0.9927554179566563,0.95,0.9535603715170279,0.95,308,15,5,95
vehicle0,1,1,Residual-Guided GMM,0.9479905437352246,0.9659442724458205,0.9653437444204219,0.9009009009009009,0.8739811608858123,0.9944272445820435,1.0,0.9318885448916409,1.0,301,22,0,100
vehicle0,1,2,Original GB,0.9290780141843972,0.9081088664421998,0.9072527869364281,0.8514851485148515,0.8051977020210639,0.9813567776530738,0.8686868686868687,0.9475308641975309,0.8686868686868687,307,17,13,86
