Dataset,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
yeast1,Original GB,0.7731 ± 0.0004,0.6832 ± 0.0047,0.6485 ± 0.0081,0.5445 ± 0.0081,0.4089 ± 0.0048,0.7912 ± 0.0059,0.4700 ± 0.0155,0.8964 ± 0.0061,0.4700 ± 0.0155
yeast1,Random US,0.6963 ± 0.0074,0.7058 ± 0.0124,0.7043 ± 0.0122,0.5807 ± 0.0146,0.3773 ± 0.0216,0.7779 ± 0.0126,0.7281 ± 0.0317,0.6834 ± 0.0131,0.7281 ± 0.0317
yeast1,Cluster US,0.6723 ± 0.0043,0.6995 ± 0.0019,0.6959 ± 0.0018,0.5740 ± 0.0021,0.3625 ± 0.0028,0.7724 ± 0.0020,0.7638 ± 0.0152,0.6351 ± 0.0121,0.7638 ± 0.0152
yeast1,SMOTE,0.7394 ± 0.0103,0.7070 ± 0.0110,0.7026 ± 0.0115,0.5829 ± 0.0147,0.3975 ± 0.0219,0.7884 ± 0.0078,0.6301 ± 0.0155,0.7839 ± 0.0109,0.6301 ± 0.0155
yeast1,Residual-Guided GMM,0.6873 ± 0.0065,0.7135 ± 0.0107,0.7099 ± 0.0091,0.5892 ± 0.0115,0.3888 ± 0.0200,0.7969 ± 0.0079,0.7755 ± 0.0235,0.6515 ± 0.0073,0.7755 ± 0.0235
vehicle0,Original GB,0.9492 ± 0.0024,0.9285 ± 0.0016,0.9276 ± 0.0017,0.8919 ± 0.0040,0.8589 ± 0.0056,0.9870 ± 0.0038,0.8894 ± 0.0050,0.9675 ± 0.0041,0.8894 ± 0.0050
vehicle0,Random US,0.9259 ± 0.0025,0.9382 ± 0.0039,0.9379 ± 0.0037,0.8596 ± 0.0047,0.8189 ± 0.0068,0.9832 ± 0.0014,0.9615 ± 0.0078,0.9150 ± 0.0027,0.9615 ± 0.0078
vehicle0,Cluster US,0.9279 ± 0.0136,0.9360 ± 0.0098,0.9358 ± 0.0099,0.8620 ± 0.0221,0.8207 ± 0.0284,0.9815 ± 0.0068,0.9513 ± 0.0029,0.9207 ± 0.0171,0.9513 ± 0.0029
vehicle0,SMOTE,0.9464 ± 0.0084,0.9383 ± 0.0078,0.9381 ± 0.0078,0.8904 ± 0.0155,0.8561 ± 0.0203,0.9884 ± 0.0015,0.9229 ± 0.0126,0.9536 ± 0.0107,0.9229 ± 0.0126
vehicle0,Residual-Guided GMM,0.9381 ± 0.0069,0.9508 ± 0.0090,0.9504 ± 0.0090,0.8811 ± 0.0133,0.8471 ± 0.0178,0.9884 ± 0.0020,0.9748 ± 0.0134,0.9268 ± 0.0054,0.9748 ± 0.0134
page-blocks0,Original GB,0.9731 ± 0.0010,0.9158 ± 0.0002,0.9129 ± 0.0001,0.8648 ± 0.0042,0.8503 ± 0.0051,0.9900 ± 0.0007,0.8437 ± 0.0011,0.9878 ± 0.0013,0.8437 ± 0.0011
page-blocks0,Random US,0.9401 ± 0.0014,0.9452 ± 0.0037,0.9452 ± 0.0036,0.7654 ± 0.0020,0.7518 ± 0.0006,0.9847 ± 0.0011,0.9517 ± 0.0099,0.9387 ± 0.0027,0.9517 ± 0.0099
page-blocks0,Cluster US,0.8163 ± 0.0065,0.8800 ± 0.0043,0.8762 ± 0.0046,0.5172 ± 0.0100,0.5147 ± 0.0100,0.9517 ± 0.0057,0.9601 ± 0.0021,0.7999 ± 0.0071,0.9601 ± 0.0021
page-blocks0,SMOTE,0.9644 ± 0.0019,0.9416 ± 0.0072,0.9411 ± 0.0075,0.8399 ± 0.0095,0.8235 ± 0.0110,0.9885 ± 0.0021,0.9130 ± 0.0139,0.9703 ± 0.0005,0.9130 ± 0.0139
page-blocks0,Residual-Guided GMM,0.9390 ± 0.0030,0.9473 ± 0.0054,0.9472 ± 0.0054,0.7626 ± 0.0108,0.7499 ± 0.0120,0.9871 ± 0.0003,0.9577 ± 0.0084,0.9368 ± 0.0024,0.9577 ± 0.0084
pima,Original GB,0.7513 ± 0.0069,0.7161 ± 0.0054,0.7056 ± 0.0048,0.6267 ± 0.0071,0.4436 ± 0.0145,0.8182 ± 0.0068,0.5995 ± 0.0078,0.8327 ± 0.0117,0.5995 ± 0.0078
pima,Random US,0.7461 ± 0.0065,0.7508 ± 0.0039,0.7490 ± 0.0039,0.6780 ± 0.0043,0.4840 ± 0.0093,0.8171 ± 0.0065,0.7662 ± 0.0078,0.7353 ± 0.0133,0.7662 ± 0.0078
pima,Cluster US,0.7322 ± 0.0128,0.7254 ± 0.0143,0.7242 ± 0.0146,0.6467 ± 0.0170,0.4380 ± 0.0273,0.8107 ± 0.0130,0.7027 ± 0.0206,0.7480 ± 0.0111,0.7027 ± 0.0206
pima,SMOTE,0.7478 ± 0.0074,0.7365 ± 0.0081,0.7352 ± 0.0082,0.6593 ± 0.0102,0.4626 ± 0.0162,0.8150 ± 0.0019,0.6990 ± 0.0120,0.7740 ± 0.0072,0.6990 ± 0.0120
pima,Residual-Guided GMM,0.7435 ± 0.0091,0.7519 ± 0.0098,0.7503 ± 0.0106,0.6801 ± 0.0109,0.4845 ± 0.0170,0.8244 ± 0.0065,0.7799 ± 0.0208,0.7240 ± 0.0144,0.7799 ± 0.0208
abalone19,Original GB,0.9896 ± 0.0004,0.4986 ± 0.0002,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0044 ± 0.0004,0.7566 ± 0.0398,0.0000 ± 0.0000,0.9973 ± 0.0004,0.0000 ± 0.0000
abalone19,Random US,0.6425 ± 0.0650,0.6235 ± 0.0242,0.6170 ± 0.0222,0.0252 ± 0.0019,0.0451 ± 0.0082,0.6278 ± 0.0214,0.6042 ± 0.1005,0.6428 ± 0.0662,0.6042 ± 0.1005
abalone19,Cluster US,0.7671 ± 0.0100,0.7018 ± 0.0406,0.6969 ± 0.0442,0.0410 ± 0.0057,0.0840 ± 0.0174,0.7506 ± 0.0261,0.6354 ± 0.0722,0.7681 ± 0.0096,0.6354 ± 0.0722
abalone19,SMOTE,0.9174 ± 0.0068,0.6173 ± 0.0236,0.5207 ± 0.0701,0.0548 ± 0.0051,0.0755 ± 0.0122,0.7516 ± 0.0474,0.3125 ± 0.0541,0.9221 ± 0.0072,0.3125 ± 0.0541
