Dataset,Repeat,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
yeast1,1,Original GB,0.772911051212938,0.6860091144937517,0.6534344521469746,0.5495497430170797,0.4125018732278869,0.7955289921556117,0.48010215170615084,0.8919160772813524,0.48010215170615084
yeast1,1,Random US,0.7048517520215634,0.7149353234827148,0.7144087862812074,0.591302682659332,0.393352765660718,0.7809221546923352,0.73888285155401,0.6909877954114196,0.73888285155401
yeast1,1,Cluster US,0.6772237196765498,0.6982969959951506,0.6965071412581774,0.5727049910873441,0.360403840852563,0.7711261867096666,0.7482503803520973,0.6483436116382038,0.7482503803520973
yeast1,1,SMOTE,0.7473045822102427,0.7178227266003616,0.7142655466343062,0.5971234647705236,0.41760422796723984,0.7913938475083999,0.6479787002825472,0.787666752918176,0.6479787002825472
yeast1,1,Residual-Guided GMM,0.6846361185983827,0.7042470027569239,0.7020640739140673,0.57938413581027,0.37236587397778353,0.7953362011608718,0.7506411649641382,0.6578528405497096,0.7506411649641382
yeast1,2,Original GB,0.7735849056603774,0.6858013366899999,0.6529247953407913,0.5487704004200562,0.4106581575201123,0.7845328586413434,0.47776570310802,0.8938369702719797,0.47776570310802
yeast1,2,Random US,0.6913746630727763,0.6917174160928032,0.6907760322058227,0.5641379410241647,0.35279493620935365,0.7640464064395578,0.6924146924581612,0.6910201397274452,0.6924146924581612
yeast1,2,Cluster US,0.6691374663072776,0.7015934388742995,0.6973613480484149,0.5763653147519505,0.3656161229124698,0.7712178972060098,0.7785372745055423,0.6246496032430567,0.7785372745055423
yeast1,2,SMOTE,0.7277628032345014,0.6957584292822794,0.691257328780579,0.5678464257820529,0.37409552470280477,0.7795621294154815,0.6199521843077591,0.7715646742567995,0.6199521843077591
yeast1,2,Residual-Guided GMM,0.6826145552560647,0.711081190672562,0.707870309748204,0.5864798199364845,0.38312066633081016,0.7900082865545588,0.7785590089111063,0.6436033724340176,0.7785590089111063
yeast1,3,Original GB,0.772911051212938,0.6777753079850002,0.6391177128229814,0.5351690335936192,0.40346859336786456,0.7936299432556551,0.45222777657031077,0.9033228393996895,0.45222777657031077
yeast1,3,Random US,0.692722371967655,0.7106542364450625,0.7077304178773614,0.5867810159083089,0.3858240674797181,0.788724673718657,0.7530102151706151,0.66829825771951,0.7530102151706151
yeast1,3,Cluster US,0.6704851752021563,0.6984696051646102,0.6939524734454903,0.5729303105605269,0.3614678601983158,0.7747121125841583,0.7646707237557053,0.6322684865735151,0.7646707237557053
yeast1,3,SMOTE,0.7432614555256065,0.7074084377005967,0.7022567621916523,0.5835881509794554,0.40070751435778207,0.7941666139896961,0.6223973049337101,0.7924195704674832,0.6223973049337101
yeast1,3,Residual-Guided GMM,0.6947439353099731,0.7252231856614135,0.7198206968062715,0.6018813745781357,0.41103940388645077,0.805500882044003,0.797315800912845,0.6531305704099821,0.797315800912845
vehicle0,1,Original GB,0.9468085106382979,0.9269104703728026,0.9261451696116066,0.887671508267578,0.8530637889955379,0.9871954166903141,0.8893434343434343,0.964477506402171,0.8893434343434343
vehicle0,1,Random US,0.9231678486997636,0.9340812754306047,0.9338529343352133,0.8540925985778927,0.8110850442428992,0.9816973793278116,0.9546969696969697,0.9134655811642396,0.9546969696969697
vehicle0,1,Cluster US,0.9137115839243499,0.9260861973710272,0.9257551860920596,0.8394452095219358,0.7917804580774759,0.9741235019614792,0.9494949494949495,0.9026774452471047,0.9494949494949495
vehicle0,1,SMOTE,0.9373522458628842,0.9328906540464849,0.9328281827616047,0.8741819002482509,0.8348677101280007,0.9870716857834161,0.9244949494949495,0.9412863585980201,0.9244949494949495
vehicle0,1,Residual-Guided GMM,0.9302600472813238,0.9403935728110135,0.9400881400669767,0.8659755646057016,0.8266290228986803,0.986208509434057,0.9595959595959596,0.9211911860260673,0.9595959595959596
vehicle0,2,Original GB,0.9515366430260048,0.9282841921103016,0.9272354236445214,0.8956897891519453,0.8642969661114108,0.9907271642388027,0.8843939393939394,0.9721744448266636,0.8843939393939394
vehicle0,2,Random US,0.9278959810874705,0.9389093984217823,0.9386347036282987,0.862383263325313,0.8221059430798536,0.9833642776424567,0.9597474747474748,0.9180713220960899,0.9597474747474748
vehicle0,2,Cluster US,0.9408983451536643,0.9456444301980937,0.9455614995248551,0.8836102457597785,0.8485143725882487,0.9875869432775177,0.9546464646464646,0.936642395749723,0.9546464646464646
vehicle0,2,SMOTE,0.9539007092198581,0.947205196095805,0.9470888476893771,0.9050066312997347,0.8754141974278276,0.9899566509416298,0.9345959595959596,0.9598144325956504,0.9345959595959596
vehicle0,2,Residual-Guided GMM,0.9408983451536643,0.9560990885810288,0.9556165180981226,0.8868407578084998,0.8552322877619918,0.9901340643371375,0.9848484848484849,0.9273496923135727,0.9848484848484849
vehicle0,3,Original GB,0.9491725768321513,0.9301906057478813,0.9294351763261864,0.8922322775263952,0.8592121136170866,0.9832111428854922,0.8943939393939394,0.9659872721018232,0.8943939393939394
vehicle0,3,Random US,0.9267139479905437,0.941714704666201,0.941062386700325,0.8622286079182631,0.8235211182417412,0.9844671749023315,0.9699494949494949,0.9134799143829071,0.9699494949494949
vehicle0,3,Cluster US,0.9290780141843972,0.9362132939300122,0.9361140487879487,0.8630136986301369,0.8219396682912355,0.9827861595737986,0.9496969696969697,0.9227296181630547,0.9496969696969697
vehicle0,3,SMOTE,0.9479905437352246,0.9346727769612186,0.9343227455925831,0.8918748331027117,0.8580907378590245,0.988037038195277,0.9095454545454545,0.9598000993769827,0.9095454545454545
vehicle0,3,Residual-Guided GMM,0.9432624113475178,0.9559139033958435,0.9555643873239821,0.8905624165554071,0.8593893231857853,0.9888625524441371,0.9798484848484849,0.9319793219432022,0.9798484848484849
page-blocks0,1,Original GB,0.9722222222222222,0.9155686131289,0.9127958085047734,0.8613396826453987,0.8461305129046526,0.9893954864790588,0.8443676395289299,0.9867695867288702,0.8443676395289299
page-blocks0,1,Random US,0.939327485380117,0.9456166271063298,0.9455832431430582,0.7650807590033157,0.7517891179930828,0.9835059403321843,0.9535202252944188,0.9377130289182407,0.9535202252944188
page-blocks0,1,Cluster US,0.8216374269005848,0.8840392654252064,0.8803113754321805,0.5264178603060196,0.524125744719401,0.9576969540432948,0.9624551971326165,0.8056233337177963,0.9624551971326165
page-blocks0,1,SMOTE,0.9629020467836258,0.935773214066006,0.9349834927750518,0.8321083647078081,0.8145823704383949,0.9862264326745285,0.9016705069124424,0.9698759212195694,0.9016705069124424
page-blocks0,1,Residual-Guided GMM,0.9404239766081872,0.9493894742646976,0.9493222617439178,0.7674418604651163,0.7550333102877951,0.9870220387108477,0.9606566820276499,0.9381222665017453,0.9606566820276499
page-blocks0,2,Original GB,0.9742324561403508,0.9158683282264768,0.9127940907671032,0.8695275456251066,0.8559080503537726,0.9898256458726191,0.8425243215565796,0.989212334896374,0.8425243215565796
page-blocks0,2,Random US,0.9391447368421053,0.9486643398748054,0.9485702331778919,0.7635040893305465,0.7512171634747248,0.985618859389289,0.9606310803891449,0.9366975993604658,0.9606310803891449
page-blocks0,2,Cluster US,0.8090277777777777,0.8754020238252402,0.8713002794102345,0.5066536203522505,0.5041862996247177,0.9462913948736285,0.958826164874552,0.7919778827759284,0.958826164874552
page-blocks0,2,SMOTE,0.9638157894736843,0.939424157022271,0.9389222604357036,0.8369391449734416,0.8200026624665702,0.988889606371262,0.908768561187916,0.9700797528566258,0.908768561187916
page-blocks0,2,Residual-Guided GMM,0.9409722222222222,0.9512783886739703,0.9511702768407178,0.7701320583063735,0.7583616445638024,0.9874149046905967,0.9642281105990784,0.9383286667488622,0.9642281105990784
page-blocks0,3,Original GB,0.9727704678362573,0.9158547450636607,0.9129891966521861,0.8635453297163334,0.848812434171558,0.9907030489050384,0.8443292370711726,0.9873802530561488,0.8443292370711726
page-blocks0,3,Random US,0.941703216374269,0.9413914383613343,0.9413289039775641,0.7675254043832676,0.752426985666999,0.9849210229740903,0.940994623655914,0.9417882530667547,0.940994623655914
page-blocks0,3,Cluster US,0.8181652046783625,0.8805139603769687,0.8770170338137507,0.5186613138194088,0.5158534146454237,0.951116128130141,0.9588709677419355,0.8021569530120018,0.9588709677419355
page-blocks0,3,SMOTE,0.9665570175438596,0.9496615237480269,0.9494025054039068,0.8505227715754031,0.8358379831181846,0.9903536509262064,0.9284306195596519,0.970892427936402,0.9284306195596519
page-blocks0,3,Residual-Guided GMM,0.9354897660818713,0.9410981132492638,0.9410541610934808,0.7501712939404017,0.7361699850755574,0.9868214747161267,0.9481438812083973,0.9340523452901304,0.9481438812083973
pima,1,Original GB,0.74609375,0.7106417910447762,0.7003788720692616,0.6194004869141814,0.4311921280902197,0.8169850746268656,0.5932835820895522,0.8280000000000001,0.5932835820895522
pima,1,Random US,0.7526041666666667,0.7537313432835822,0.7531091868376906,0.6817735657471653,0.49043582093372534,0.815731343283582,0.7574626865671642,0.75,0.7574626865671642
pima,1,Cluster US,0.7408854166666667,0.7369402985074627,0.73671614051293,0.661092530657748,0.45861773370134495,0.8214776119402984,0.7238805970149254,0.75,0.7238805970149254
pima,1,SMOTE,0.7395833333333333,0.7281492537313433,0.7268227443510611,0.6489446901837089,0.44564088588121153,0.8144328358208955,0.6902985074626866,0.766,0.6902985074626866
pima,1,Residual-Guided GMM,0.7434895833333334,0.7571194029850746,0.7549320614627582,0.6862407211028632,0.4927728207381754,0.8314776119402985,0.8022388059701493,0.712,0.8022388059701493
pima,2,Original GB,0.7591145833333334,0.7215074626865672,0.7096601772442455,0.6334781103452617,0.45950244843959276,0.8121641791044776,0.5970149253731343,0.8460000000000001,0.5970149253731343
pima,2,Random US,0.74609375,0.7521940298507463,0.7487539407064914,0.6787878787878787,0.4881472128658549,0.8114776119402984,0.7723880597014925,0.732,0.7723880597014925
pima,2,Cluster US,0.7174479166666667,0.7094179104477611,0.7082461130273536,0.6279121863799283,0.40697290312999557,0.7963283582089553,0.6828358208955224,0.736,0.6828358208955224
pima,2,SMOTE,0.75390625,0.7443432835820896,0.7431800367076868,0.6693823883604906,0.477827558777923,0.8171940298507463,0.7126865671641791,0.776,0.7126865671641791
pima,2,Residual-Guided GMM,0.734375,0.7405970149253731,0.7381328110115604,0.6674900920446368,0.46500633207250525,0.8187761194029851,0.7611940298507462,0.72,0.7611940298507462
pima,3,Original GB,0.7486979166666667,0.7161044776119403,0.7068789815260468,0.6271731364610622,0.44005802893188034,0.8255074626865673,0.6082089552238805,0.8240000000000001,0.6082089552238805
