Dataset,Method,Accuracy,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,GMean,GMean_Mean,GMean_Std,F1,F1_Mean,F1_Std,MCC,MCC_Mean,MCC_Std,ROC_AUC,ROC_AUC_Mean,ROC_AUC_Std,Sensitivity,Sensitivity_Mean,Sensitivity_Std,Specificity,Specificity_Mean,Specificity_Std,Minority_Recall,Minority_Recall_Mean,Minority_Recall_Std
yeast1,Original GB,0.7731 ± 0.0004,0.7731356693620844,0.0003890500466237598,0.6832 ± 0.0047,0.6831952530562506,0.004694959673464892,0.6485 ± 0.0081,0.6484923201035824,0.00812264635227621,0.5445 ± 0.0081,0.544496392343585,0.00808712307676882,0.4089 ± 0.0048,0.40887620803862124,0.00477300159473166,0.7912 ± 0.0059,0.7912305980175368,0.005877616969883681,0.4700 ± 0.0155,0.4700318771281606,0.01546299600719236,0.8964 ± 0.0061,0.8963586289843405,0.006107178358481239,0.4700 ± 0.0155,0.4700318771281606,0.01546299600719236
yeast1,Random US,0.6963 ± 0.0074,0.6963162623539981,0.007422601815749479,0.7058 ± 0.0124,0.7057689920068602,0.012355849457134378,0.7043 ± 0.0122,0.7043050787881304,0.012183040556612392,0.5807 ± 0.0146,0.5807405465306018,0.014554939015798369,0.3773 ± 0.0216,0.37732392311659657,0.021573681259741434,0.7779 ± 0.0126,0.7778977449501833,0.012614060000292589,0.7281 ± 0.0317,0.7281025863942622,0.03170354760724316,0.6834 ± 0.0131,0.6834353976194582,0.013109157669417573,0.7281 ± 0.0317,0.7281025863942622,0.03170354760724316
yeast1,Cluster US,0.6723 ± 0.0043,0.6722821203953279,0.004332277969898004,0.6995 ± 0.0019,0.6994533466780201,0.0018553825583359667,0.6959 ± 0.0018,0.6959403209173608,0.0017737165750729795,0.5740 ± 0.0021,0.5740002054666071,0.0020513406993870774,0.3625 ± 0.0028,0.3624959413211162,0.002754030530749528,0.7724 ± 0.0020,0.7723520654999448,0.002044375059416211,0.7638 ± 0.0152,0.7638194595377817,0.015161381119213148,0.6351 ± 0.0121,0.6350872338182585,0.012095888164150487,0.7638 ± 0.0152,0.7638194595377817,0.015161381119213148
yeast1,SMOTE,0.7394 ± 0.0103,0.7394429469901169,0.010315330191558898,0.7070 ± 0.0110,0.7069965311944125,0.011037914398225797,0.7026 ± 0.0115,0.7025932125355125,0.011507798283188467,0.5829 ± 0.0147,0.5828526805106773,0.014652369794369149,0.3975 ± 0.0219,0.3974690890092756,0.021934387704961193,0.7884 ± 0.0078,0.7883741969711925,0.007756381852691414,0.6301 ± 0.0155,0.6301093965080055,0.015523487583626344,0.7839 ± 0.0109,0.7838836658808196,0.010930026744649712,0.6301 ± 0.0155,0.6301093965080055,0.015523487583626344
yeast1,Residual-Guided GMM,0.6873 ± 0.0065,0.6873315363881402,0.006498416954847052,0.7135 ± 0.0107,0.7135171263636332,0.0106981493413079,0.7099 ± 0.0091,0.7099183601561809,0.009053744915182776,0.5892 ± 0.0115,0.5892484434416301,0.011501321451447366,0.3888 ± 0.0200,0.38884198139834814,0.01996147698632726,0.7969 ± 0.0079,0.7969484565864778,0.007871127899985769,0.7755 ± 0.0235,0.7755053249293632,0.023486680259912088,0.6515 ± 0.0073,0.6515289277979031,0.0072584970681024335,0.7755 ± 0.0235,0.7755053249293632,0.023486680259912088
vehicle0,Original GB,0.9492 ± 0.0024,0.9491725768321513,0.002364066193853487,0.9285 ± 0.0016,0.9284617560769952,0.0016472609815726116,0.9276 ± 0.0017,0.9276052565274382,0.0016758932891028399,0.8919 ± 0.0040,0.8918645249819729,0.00402177057222305,0.8589 ± 0.0056,0.8588576229080118,0.005624972424488671,0.9870 ± 0.0038,0.9870445746048696,0.003760280474500657,0.8894 ± 0.0050,0.8893771043771044,0.005000085024614636,0.9675 ± 0.0041,0.9675464077768859,0.004078467030337206,0.8894 ± 0.0050,0.8893771043771044,0.005000085024614636
vehicle0,Random US,0.9259 ± 0.0025,0.9259259259259259,0.002460598108115991,0.9382 ± 0.0039,0.9382351261728626,0.003861125842673535,0.9379 ± 0.0037,0.937850008221279,0.003668223141052367,0.8596 ± 0.0047,0.8595681566071564,0.0047426028056972176,0.8189 ± 0.0068,0.8189040351881647,0.0068083143828934515,0.9832 ± 0.0014,0.9831762772908667,0.0013944353625413841,0.9615 ± 0.0078,0.9614646464646465,0.007769902874194782,0.9150 ± 0.0027,0.9150056058810788,0.002654997795389947,0.9615 ± 0.0078,0.9614646464646465,0.007769902874194782
vehicle0,Cluster US,0.9279 ± 0.0136,0.9278959810874704,0.013631870679279892,0.9360 ± 0.0098,0.9359813071663777,0.009781179950461627,0.9358 ± 0.0099,0.9358102448016211,0.009906651078750836,0.8620 ± 0.0221,0.8620230513039505,0.02209917742962735,0.8207 ± 0.0284,0.8207448329856534,0.028385823706289,0.9815 ± 0.0068,0.9814988682709318,0.006823408399871013,0.9513 ± 0.0029,0.9512794612794613,0.002917659472173715,0.9207 ± 0.0171,0.9206831530532941,0.01707470293286029,0.9513 ± 0.0029,0.9512794612794613,0.002917659472173715
vehicle0,SMOTE,0.9464 ± 0.0084,0.946414499605989,0.008386050691013655,0.9383 ± 0.0078,0.9382562090345029,0.007801106818158563,0.9381 ± 0.0078,0.938079925347855,0.007837661694065237,0.8904 ± 0.0155,0.8903544548835658,0.015468505860166865,0.8561 ± 0.0203,0.8561242151382843,0.020344650815316216,0.9884 ± 0.0015,0.9883551249734409,0.001468550438309412,0.9229 ± 0.0126,0.9228787878787879,0.012603211281197778,0.9536 ± 0.0107,0.9536336301902177,0.010693053267842027,0.9229 ± 0.0126,0.9228787878787879,0.012603211281197778
vehicle0,Residual-Guided GMM,0.9381 ± 0.0069,0.938140267927502,0.006926081887804196,0.9508 ± 0.0090,0.9508021882626286,0.009014600939747845,0.9504 ± 0.0090,0.9504230151630271,0.008950302332470432,0.8811 ± 0.0133,0.8811262463232028,0.013252171646031385,0.8471 ± 0.0178,0.8470835446154857,0.017835661744833538,0.9884 ± 0.0020,0.9884017087384439,0.0020029423394303044,0.9748 ± 0.0134,0.9747643097643097,0.01337195330242621,0.9268 ± 0.0054,0.9268400667609473,0.00541209366091908,0.9748 ± 0.0134,0.9747643097643097,0.01337195330242621
page-blocks0,Original GB,0.9731 ± 0.0010,0.9730750487329435,0.001039152175269947,0.9158 ± 0.0002,0.9157638954730126,0.00016925578577871626,0.9129 ± 0.0001,0.9128596986413542,0.00011215185581497536,0.8648 ± 0.0042,0.8648041859956129,0.0042366041109040105,0.8503 ± 0.0051,0.8502836658099944,0.005052073984284891,0.9900 ± 0.0007,0.989974727085572,0.0006664073682815996,0.8437 ± 0.0011,0.8437403993855607,0.0010533293178274943,0.9878 ± 0.0013,0.9877873915604644,0.0012712497684298518,0.8437 ± 0.0011,0.8437403993855607,0.0010533293178274943
